solver,board,depth,nodes,timeMs,cacheHits
BruteForce,3,2,276,0.1899,0
DP,3,2,276,0.4272,0
BruteForce,3,4,7431,3.9302,0
DP,3,4,4481,5.7061,2094
BruteForce,3,6,104815,70.4425,0
DP,3,6,16449,23.0924,9968
BruteForce,3,8,490303,419.52,0
DP,3,8,22690,25.9594,14455
BruteForce,4,2,1496,0.9267,0
DP,4,2,1496,2.9876,0
BruteForce,4,4,163722,124.309,0
DP,4,4,89734,171.28,44093
BruteForce,4,6,15577978,10067.7,0
DP,4,6,1620848,1845.7,1064327
BruteForce,4,8,TIMEOUT,TIMEOUT,0
DP,4,8,11707893,14152.6,8621896
BruteForce,5,2,5525,4.4326,0
DP,5,2,5525,14.2793,0
BruteForce,5,4,1673197,1379.91,0
DP,5,4,884190,1710.49,439280
BruteForce,5,6,TIMEOUT,TIMEOUT,0
DP,5,6,47247018,59202.7,31346686
BruteForce,5,8,TIMEOUT,TIMEOUT,0
DP,5,8,TIMEOUT,TIMEOUT,0
